"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"tech professional us visa refused","20K+","November 2, 2025 at 9:10:00 AM UTC+5:30",,"tech professional us visa refused","https://trends.google.com/trends/explore?q=tech%20professional%20us%20visa%20refused&geo=IN&hl=en-US"
"ndtv","500+","November 3, 2025 at 12:20:00 AM UTC+5:30",,"ndtv","https://trends.google.com/trends/explore?q=ndtv&geo=IN&hl=en-US"
"ms dhoni","200+","November 3, 2025 at 12:30:00 AM UTC+5:30",,"ms dhoni","https://trends.google.com/trends/explore?q=ms%20dhoni&geo=IN&hl=en-US"
"amit baghel","200+","November 3, 2025 at 12:30:00 AM UTC+5:30",,"amit baghel","https://trends.google.com/trends/explore?q=amit%20baghel&geo=IN&hl=en-US"
"annamalai bjp","2K+","November 2, 2025 at 1:20:00 PM UTC+5:30","November 3, 2025 at 12:20:00 AM UTC+5:30","annamalai bjp","https://trends.google.com/trends/explore?q=annamalai%20bjp&geo=IN&hl=en-US"
"itat delhi cash deposit case","5K+","November 2, 2025 at 1:40:00 PM UTC+5:30","November 2, 2025 at 5:00:00 PM UTC+5:30","itat delhi cash deposit case","https://trends.google.com/trends/explore?q=itat%20delhi%20cash%20deposit%20case&geo=IN&hl=en-US"
"प्रधानमंत्री ग्रामीण आवास योजना","2K+","November 2, 2025 at 7:40:00 AM UTC+5:30","November 2, 2025 at 5:20:00 PM UTC+5:30","प्रधानमंत्री ग्रामीण आवास योजना","https://trends.google.com/trends/explore?q=%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%A7%E0%A4%BE%E0%A4%A8%E0%A4%AE%E0%A4%82%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%80%20%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A5%80%E0%A4%A3%20%E0%A4%86%E0%A4%B5%E0%A4%BE%E0%A4%B8%20%E0%A4%AF%E0%A5%8B%E0%A4%9C%E0%A4%A8%E0%A4%BE&geo=IN&hl=en-US"
"jdu","2K+","November 2, 2025 at 7:10:00 AM UTC+5:30","November 2, 2025 at 12:30:00 PM UTC+5:30","jdu,anant singh arrested,anant singh news,jdu party,mokama,anant singh arrest","https://trends.google.com/trends/explore?q=jdu&geo=IN&hl=en-US"
"aaj tak news","500+","November 2, 2025 at 8:30:00 PM UTC+5:30","November 3, 2025 at 1:10:00 AM UTC+5:30","aaj tak news","https://trends.google.com/trends/explore?q=aaj%20tak%20news&geo=IN&hl=en-US"
"पीएम किसान 21वीं किस्त","2K+","November 2, 2025 at 5:10:00 AM UTC+5:30","November 2, 2025 at 2:20:00 PM UTC+5:30","पीएम किसान 21वीं किस्त,pm kisan 21th installment date,पीएम किसान निधि 21वीं किस्त कब आएगी","https://trends.google.com/trends/explore?q=%E0%A4%AA%E0%A5%80%E0%A4%8F%E0%A4%AE%20%E0%A4%95%E0%A4%BF%E0%A4%B8%E0%A4%BE%E0%A4%A8%2021%E0%A4%B5%E0%A5%80%E0%A4%82%20%E0%A4%95%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4&geo=IN&hl=en-US"
"pm awas yojana","500+","November 2, 2025 at 5:50:00 AM UTC+5:30","November 2, 2025 at 10:20:00 AM UTC+5:30","pm awas yojana","https://trends.google.com/trends/explore?q=pm%20awas%20yojana&geo=IN&hl=en-US"
"jogi ramesh","200+","November 2, 2025 at 8:40:00 AM UTC+5:30","November 2, 2025 at 10:30:00 AM UTC+5:30","jogi ramesh","https://trends.google.com/trends/explore?q=jogi%20ramesh&geo=IN&hl=en-US"
"8वें वेतन आयोग सैलरी","200+","November 2, 2025 at 4:20:00 AM UTC+5:30","November 2, 2025 at 6:30:00 AM UTC+5:30","8वें वेतन आयोग सैलरी","https://trends.google.com/trends/explore?q=8%E0%A4%B5%E0%A5%87%E0%A4%82%20%E0%A4%B5%E0%A5%87%E0%A4%A4%E0%A4%A8%20%E0%A4%86%E0%A4%AF%E0%A5%8B%E0%A4%97%20%E0%A4%B8%E0%A5%88%E0%A4%B2%E0%A4%B0%E0%A5%80&geo=IN&hl=en-US"
"westpac","200+","November 2, 2025 at 4:30:00 PM UTC+5:30","November 2, 2025 at 4:50:00 PM UTC+5:30","westpac","https://trends.google.com/trends/explore?q=westpac&geo=IN&hl=en-US"
"andhrajyothy","100+","November 2, 2025 at 5:40:00 AM UTC+5:30","November 2, 2025 at 7:10:00 AM UTC+5:30","andhrajyothy","https://trends.google.com/trends/explore?q=andhrajyothy&geo=IN&hl=en-US"
"hii","100+","November 2, 2025 at 7:50:00 AM UTC+5:30","November 2, 2025 at 8:20:00 AM UTC+5:30","hii","https://trends.google.com/trends/explore?q=hii&geo=IN&hl=en-US"
"uidai aadhaar","200+","November 2, 2025 at 9:20:00 AM UTC+5:30","November 2, 2025 at 9:40:00 AM UTC+5:30","uidai aadhaar","https://trends.google.com/trends/explore?q=uidai%20aadhaar&geo=IN&hl=en-US"
